code,title,l10n-zh_Hant,l10n-zh_Hans
1,assets,資產,资产
2,liabilities,負債,负债
3,owners’ equity,業主權益,业主权益
4,operating revenue,營業收入,营业收入
5,operating costs,營業成本,营业成本
6,operating expenses,營業費用,营业费用
7,"non-operating revenue and expenses, other income (expense)",營業外收入及費用,营业外收入及费用
8,income tax expense (or benefit),所得稅費用(或利益),所得税费用(或利益)
9,nonrecurring gain or loss,非經常營業損益,非经常营业损益
11,current assets,流動資產,流动资产
12,current assets,流動資產,流动资产
13,funds and long-term investments,基金及長期投資,基金及长期投资
14,"property , plant, and equipment",固定資產,固定资产
15,"property , plant, and equipment",固定資產,固定资产
16,depletable assets,遞耗資產,递耗资产
17,intangible assets,無形資產,无形资产
18,other assets,其他資產,其他资产
21,current liabilities,流動負債,流动负债
22,current liabilities,流動負債,流动负债
23,long-term liabilities,長期負債,长期负债
28,other liabilities,其他負債,其他负债
31,capital,資本,资本
32,additional paid-in capital,資本公積,资本公积
33,retained earnings (accumulated deficit),保留盈餘(或累積虧損),保留盈余(或累积亏损)
34,equity adjustments,權益調整,权益调整
35,treasury stock,庫藏股,库藏股
36,minority interest,少數股權,少数股权
41,sales revenue,銷貨收入,销货收入
46,service revenue,勞務收入,劳务收入
47,agency revenue,業務收入,业务收入
48,other operating revenue,其他營業收入,其他营业收入
51,cost of goods sold,銷貨成本,销货成本
56,service costs,勞務成本,劳务成本
57,agency costs,業務成本,业务成本
58,other operating costs,其他營業成本,其他营业成本
61,selling expenses,推銷費用,推销费用
62,general & administrative expenses,管理及總務費用,管理及总务费用
63,research and development expenses,研究發展費用,研究发展费用
71,non-operating revenue,營業外收入,营业外收入
72,non-operating revenue,營業外收入,营业外收入
73,non-operating revenue,營業外收入,营业外收入
74,non-operating revenue,營業外收入,营业外收入
75,non-operating expenses,營業外費用,营业外费用
76,non-operating expenses,營業外費用,营业外费用
77,non-operating expenses,營業外費用,营业外费用
78,non-operating expenses,營業外費用,营业外费用
81,income tax expense (or benefit),所得稅費用(或利益),所得税费用(或利益)
91,gain (loss) from discontinued operations,停業部門損益,停业部门损益
92,extraordinary gain or loss,非常損益,非常损益
93,cumulative effect of changes in accounting principles,會計原則變動累積影響數,会计原则变动累积影响数
94,minority interest income,少數股權淨利,少数股权净利
111,cash and cash equivalents,現金及約當現金,现金及约当现金
112,short-term investments,短期投資,短期投资
113,notes receivable,應收票據,应收票据
114,accounts receivable,應收帳款,应收帐款
118,other receivables,其他應收款,其他应收款
121,inventories,存貨,存货
122,inventories,存貨,存货
125,prepaid expenses,預付費用,预付费用
126,prepayments,預付款項,预付款项
128,other current assets,其他流動資產,其他流动资产
129,other current assets,其他流動資產,其他流动资产
131,funds,基金,基金
132,long-term investments,長期投資,长期投资
141,land,土地,土地
142,land improvements,土地改良物,土地改良物
143,buildings,房屋及建物,房屋及建物
144,machinery and equipment,機(器)具及設備,机(器)具及设备
145,machinery and equipment,機(器)具及設備,机(器)具及设备
146,machinery and equipment,機(器)具及設備,机(器)具及设备
151,leased assets,租賃資產,租赁资产
152,leasehold improvements,租賃權益改良,租赁权益改良
156,construction in progress and prepayments for equipment,未完工程及預付購置設備款,未完工程及预付购置设备款
158,"miscellaneous property, plant, and equipment",雜項固定資產,杂项固定资产
161,depletable assets,遞耗資產,递耗资产
171,trademarks,商標權,商标权
172,patents,專利權,专利权
173,franchise,特許權,特许权
174,copyright,著作權,著作权
175,computer software,電腦軟體,电脑软体
176,goodwill,商譽,商誉
177,organization costs,開辦費,开办费
178,other intangibles,其他無形資產,其他无形资产
181,deferred assets,遞延資產,递延资产
182,idle assets,閒置資產,闲置资产
184,"long-term notes , accounts and overdue receivables",長期應收票據及款項與催收帳款,长期应收票据及款项与催收帐款
185,assets leased to others,出租資產,出租资产
186,refundable deposit,存出保證金,存出保证金
188,miscellaneous assets,雜項資產,杂项资产
211,short-term borrowings (debt),短期借款,短期借款
212,short-term notes and bills payable,應付短期票券,应付短期票券
213,notes payable,應付票據,应付票据
214,accounts pay able,應付帳款,应付帐款
216,income taxes payable,應付所得稅,应付所得税
217,accrued expenses,應付費用,应付费用
218,other payables,其他應付款,其他应付款
219,other payables,其他應付款,其他应付款
226,advance receipts,預收款項,预收款项
227,long-term liabilities -current portion,一年或一營業週期內到期長期負債,一年或一营业周期内到期长期负债
228,other current liabilities,其他流動負債,其他流动负债
229,other current liabilities,其他流動負債,其他流动负债
231,corporate bonds payable,應付公司債,应付公司债
232,long-term loans payable,長期借款,长期借款
233,long-term notes and accounts payable,長期應付票據及款項,长期应付票据及款项
234,accrued liabilities for land value increment tax,估計應付土地增值稅,估计应付土地增值税
235,accrued pension liabilities,應計退休金負債,应计退休金负债
238,other long-term liabilities,其他長期負債,其他长期负债
281,deferred liabilities,遞延負債,递延负债
286,deposits received,存入保證金,存入保证金
288,miscellaneous liabilities,雜項負債,杂项负债
311,capital,資本（或股本）,资本（或股本）
321,paid-in capital in excess of par,股票溢價,股票溢价
323,capital surplus from assets revaluation,資產重估增值準備,资产重估增值准备
324,capital surplus from gain on disposal of assets,處分資產溢價公積,处分资产溢价公积
325,capital surplus from business combination,合併公積,合并公积
326,donated surplus,受贈公積,受赠公积
328,other additional paid-in capital,其他資本公積,其他资本公积
331,legal reserve,法定盈餘公積,法定盈余公积
332,special reserve,特別盈餘公積,特别盈余公积
335,retained earnings-unappropriated (or accumulated deficit),未分配盈餘(或累積虧損),未分配盈余(或累积亏损)
341,unrealized loss on market value decline of long-term equity investments,長期股權投資未實現跌價損失,长期股权投资未实现跌价损失
342,cumulative translation adjustment,累積換算調整數,累积换算调整数
343,net loss not recognized as pension cost,未認列為退休金成本之淨損失,未认列为退休金成本之净损失
351,treasury stock,庫藏股,库藏股
361,minority interest,少數股權,少数股权
411,sales revenue,銷貨收入,销货收入
417,sales return,銷貨退回,销货退回
419,sales allowances,銷貨折讓,销货折让
461,service revenue,勞務收入,劳务收入
471,agency revenue,業務收入,业务收入
488,other operating revenue,其他營業收入—其他,其他营业收入—其他
511,cost of goods sold,銷貨成本,销货成本
512,purchases,進貨,进货
513,materials purchased,進料,进料
514,direct labor,直接人工,直接人工
515,manufacturing overhead,製造費用,制造费用
516,manufacturing overhead,製造費用,制造费用
517,manufacturing overhead,製造費用,制造费用
518,manufacturing overhead,製造費用,制造费用
561,service costs,勞務成本,劳务成本
571,agency costs,業務成本,业务成本
588,other operating costs-other,其他營業成本—其他,其他营业成本—其他
615,selling expenses,推銷費用,推销费用
616,selling expenses,推銷費用,推销费用
617,selling expenses,推銷費用,推销费用
618,selling expenses,推銷費用,推销费用
625,general & administrative expenses,管理及總務費用,管理及总务费用
626,general & administrative expenses,管理及總務費用,管理及总务费用
627,general & administrative expenses,管理及總務費用,管理及总务费用
628,general & administrative expenses,管理及總務費用,管理及总务费用
635,research and development expenses,研究發展費用,研究发展费用
636,research and development expenses,研究發展費用,研究发展费用
637,research and development expenses,研究發展費用,研究发展费用
638,research and development expenses,研究發展費用,研究发展费用
711,interest revenue,利息收入,利息收入
712,investment income,投資收益,投资收益
713,foreign exchange gain,兌換利益,兑换利益
714,gain on disposal of investments,處分投資收益,处分投资收益
715,gain on disposal of assets,處分資產溢價收入,处分资产溢价收入
748,other non-operating revenue,其他營業外收入,其他营业外收入
751,interest expense,利息費用,利息费用
752,investment loss,投資損失,投资损失
753,foreign exchange loss,兌換損失,兑换损失
754,loss on disposal of investments,處分投資損失,处分投资损失
755,loss on disposal of assets,處分資產損失,处分资产损失
788,other non-operating expenses,其他營業外費用,其他营业外费用
811,income tax expense (or benefit),所得稅費用(或利益),所得税费用(或利益)
911,income (loss) from operations of discontinued segments,停業部門損益—停業前營業損益,停业部门损益—停业前营业损益
912,gain (loss) from disposal of discontinued segments,停業部門損益—處分損益,停业部门损益—处分损益
921,extraordinary gain or loss,非常損益,非常损益
931,cumulative effect of changes in accounting principles,會計原則變動累積影響數,会计原则变动累积影响数
941,minority interest income,少數股權淨利,少数股权净利
1111,cash on hand,庫存現金,库存现金
1112,petty cash/revolving funds,零用金/週轉金,零用金/周转金
1113,cash in banks,銀行存款,银行存款
1116,cash in transit,在途現金,在途现金
1117,cash equivalents,約當現金,约当现金
1118,other cash and cash equivalents,其他現金及約當現金,其他现金及约当现金
1121,short-term investments – stock,短期投資—股票,短期投资—股票
1122,short-term investments – short-term notes and bills,短期投資—短期票券,短期投资—短期票券
1123,short-term investments – government bonds,短期投資—政府債券,短期投资—政府债券
1124,short-term investments – beneficiary certificates,短期投資—受益憑證,短期投资—受益凭证
1125,short-term investments – corporate bonds,短期投資—公司債,短期投资—公司债
1128,short-term investments – other,短期投資—其他,短期投资—其他
1129,allowance for reduction of short-term investment to market,備抵短期投資跌價損失,备抵短期投资跌价损失
1131,notes receivable,應收票據,应收票据
1132,discounted notes receivable,應收票據貼現,应收票据贴现
1137,notes receivable – related parties,應收票據—關係人,应收票据—关系人
1138,other notes receivable,其他應收票據,其他应收票据
1139,allowance for uncollectible accounts – notes receivable,備抵呆帳－應收票據,备抵呆帐－应收票据
1141,accounts receivable,應收帳款,应收帐款
1142,installment accounts receivable,應收分期帳款,应收分期帐款
1147,accounts receivable – related parties,應收帳款—關係人,应收帐款—关系人
1149,allowance for uncollectible accounts – accounts receivable,備抵呆帳－應收帳款,备抵呆帐－应收帐款
1181,forward exchange contract receivable,應收出售遠匯款,应收出售远汇款
1182,forward exchange contract receivable – foreign currencies,應收遠匯款—外幣,应收远汇款—外币
1183,discount on forward ex-change contract,買賣遠匯折價,买卖远汇折价
1184,earned revenue receivable,應收收益,应收收益
1185,income tax refund receivable,應收退稅款,应收退税款
1187,other receivables – related parties,其他應收款—關係人,其他应收款—关系人
1188,other receivables – other,其他應收款—其他,其他应收款—其他
1189,allowance for uncollectible accounts – other receivables,備抵呆帳—其他應收款,备抵呆帐—其他应收款
1211,merchandise inventory,商品存貨,商品存货
1212,consigned goods,寄銷商品,寄销商品
1213,goods in transit,在途商品,在途商品
1219,allowance for reduction of inventory to market,備抵存貨跌價損失,备抵存货跌价损失
1221,finished goods,製成品,制成品
1222,consigned finished goods,寄銷製成品,寄销制成品
1223,by-products,副產品,副产品
1224,work in process,在製品,在制品
1225,work in process – outsourced,委外加工,委外加工
1226,raw materials,原料,原料
1227,supplies,物料,物料
1228,materials and supplies in transit,在途原物料,在途原物料
1229,allowance for reduction of inventory to market,備抵存貨跌價損失,备抵存货跌价损失
1251,prepaid payroll,預付薪資,预付薪资
1252,prepaid rents,預付租金,预付租金
1253,prepaid insurance,預付保險費,预付保险费
1254,office supplies,用品盤存,用品盘存
1255,prepaid income tax,預付所得稅,预付所得税
1258,other prepaid expenses,其他預付費用,其他预付费用
1261,prepayment for purchases,預付貨款,预付货款
1268,other prepayments,其他預付款項,其他预付款项
1281,VAT paid ( or input tax),進項稅額,进项税额
1282,excess VAT paid (or overpaid VAT),留抵稅額,留抵税额
1283,temporary payments,暫付款,暂付款
1284,payment on behalf of others,代付款,代付款
1285,advances to employees,員工借支,员工借支
1286,refundable deposits,存出保證金,存出保证金
1287,certificate of deposit-restricted,受限制存款,受限制存款
1291,deferred income tax assets,遞延所得稅資產,递延所得税资产
1292,deferred foreign exchange losses,遞延兌換損失,递延兑换损失
1293,owners’ (stockholders’) current account,業主(股東)往來,业主(股东)往来
1294,current account with others,同業往來,同业往来
1298,other current assets – other,其他流動資產—其他,其他流动资产—其他
1311,redemption fund (or sinking fund),償債基金,偿债基金
1312,fund for improvement and expansion,改良及擴充基金,改良及扩充基金
